Lotothis | The Obsidian Palace Guard | Obsidian Palace | The Dais | Sat Aug 26 20:28:04 2000
Faunus | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Sun Aug 27 15:28:10 2000
Faunus | The phantasmal killer | Obsidian Palace | A Nightmare | Sun Aug 27 15:40:19 2000
Faunus | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 15:40:47 2000
Faunus | The phantasmal killer | Obsidian Palace | A Nightmare | Sun Aug 27 15:46:18 2000
Antari | The Devil Ishmael | Obsidian Palace | A Nightmare | Sun Aug 27 15:47:27 2000
Vryllen | The phantasmal killer | Obsidian Palace | A Nightmare | Sun Aug 27 15:51:06 2000
Plastyc | The Devil Ishmael | Obsidian Palace | A Nightmare | Sun Aug 27 15:51:27 2000
Nirgal | The Devil Ishmael | Obsidian Palace | A Nightmare | Sun Aug 27 16:03:58 2000
Shamoke | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 16:48:31 2000
Ziath | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 17:53:59 2000
Ziath | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 17:56:35 2000
Zedekiah | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 17:57:08 2000
Amarellis | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 17:57:59 2000
Ilshadriel | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 18:10:12 2000
Gacerris | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 18:19:16 2000
Ilshadriel | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 18:19:44 2000
Original | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 18:20:18 2000
Gacerris | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 18:20:28 2000
Ilshadriel | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 18:21:04 2000
Amarellis | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Sun Aug 27 18:29:16 2000
Ilshadriel | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 18:32:44 2000
Ziath | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Sun Aug 27 18:33:00 2000
Zedekiah | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Sun Aug 27 18:35:08 2000
Taeriyn | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Sun Aug 27 18:37:00 2000
Shiva | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 19:16:18 2000
Slade | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 19:18:42 2000
Slade | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 19:18:57 2000
Slade | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 19:19:43 2000
Slade | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 19:21:23 2000
Slade | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 19:23:06 2000
Slade | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 19:23:36 2000
Caitiff | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Aug 27 19:30:12 2000
Kellen | Sir Lothar | Crusader Battlefield | Bloody fields | Sun Aug 27 21:25:38 2000
Yhaln | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Mon Aug 28 03:11:59 2000
Yhaln | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Mon Aug 28 03:13:44 2000
Yhaln | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Mon Aug 28 03:16:59 2000
Tedrikon | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 11:46:24 2000
Dexter | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 12:02:30 2000
Tedrikon | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 12:25:53 2000
Kellen | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 12:26:17 2000
Tedrikon | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 12:26:25 2000
Kellen | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 12:26:45 2000
Dexter | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 12:26:49 2000
Tedrikon | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 12:27:30 2000
Dexter | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 12:27:39 2000
Leif | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 12:27:42 2000
Nirgal | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 12:28:00 2000
Leif | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 12:54:22 2000
Fester | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 12:54:31 2000
Kellen | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 12:59:28 2000
Conairus | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 13:00:31 2000
Leif | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Mon Aug 28 13:08:04 2000
Conairus | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 13:13:12 2000
Fester | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Mon Aug 28 13:14:28 2000
Nirgal | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Mon Aug 28 13:16:20 2000
Tedrikon | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Mon Aug 28 13:17:24 2000
Tumock | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 13:56:47 2000
Leif | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 14:18:51 2000
Conairus | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 14:18:54 2000
Fester | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 14:19:09 2000
Tumock | The Devil Ishmael | Obsidian Palace | A Nightmare | Mon Aug 28 14:19:15 2000
Nirgal | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 14:19:18 2000
Tedrikon | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 14:19:21 2000
Maximus | The phantasmal killer | Obsidian Palace | A Nightmare | Mon Aug 28 14:19:21 2000
Ilshadriel | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 15:24:28 2000
Lordaron | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 15:26:01 2000
Lordaron | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Mon Aug 28 16:34:56 2000
Juntirth | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Mon Aug 28 16:35:20 2000
Nirgal | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Mon Aug 28 16:49:17 2000
Shamoke | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Mon Aug 28 17:42:59 2000
Nirgal | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 20:25:20 2000
Chichiri | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 20:25:37 2000
Chichiri | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 20:26:28 2000
Arkaine | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 20:29:59 2000
Tolant | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 20:30:02 2000
Wocoom | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Aug 28 20:30:20 2000
Ilien | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Mon Aug 28 21:44:48 2000
Kurkhan | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Mon Aug 28 21:45:18 2000
Kurkhan | The Crystal Dragon | Obsidian Palace | The Throne | Mon Aug 28 22:04:03 2000
Ilien | The Crystal Dragon | Obsidian Palace | The Throne | Mon Aug 28 22:04:05 2000
Yahoo | The Crystal Dragon | Obsidian Palace | The Throne | Mon Aug 28 22:07:24 2000
Striker | The Crystal Dragon | Obsidian Palace | The Throne | Tue Aug 29 21:26:36 2000
Zedekiah | The Obsidian Prince | Obsidian Palace | The Crimson Pentagram | Wed Aug 30 21:58:22 2000
Alaric | The Obsidian Prince | Obsidian Palace | The Crimson Pentagram | Wed Aug 30 22:01:34 2000
Zedekiah | The Obsidian Prince | Obsidian Palace | The Crimson Pentagram | Wed Aug 30 22:03:04 2000
Adralyan | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 02:25:32 2000
Improbar | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 02:26:08 2000
Adralyan | The Obsidian Palace Guard | Obsidian Palace | The Dais | Thu Aug 31 02:36:03 2000
Improbar | The Crystal Dragon | Obsidian Palace | The Throne | Thu Aug 31 02:37:02 2000
Zaelot | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Aug 31 05:09:36 2000
Numinax | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Aug 31 06:42:54 2000
Jixtio | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Aug 31 06:44:22 2000
Numinax | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 06:46:29 2000
Numinax | The phantasmal killer | Obsidian Palace | A Nightmare | Thu Aug 31 07:00:49 2000
Kailo | The Devil Ishmael | Obsidian Palace | A Nightmare | Thu Aug 31 07:01:04 2000
Jixtio | The Devil Ishmael | Obsidian Palace | A Nightmare | Thu Aug 31 07:01:46 2000
Fester | The phantasmal killer | Obsidian Palace | A Nightmare | Thu Aug 31 07:02:01 2000
Nirgal | The phantasmal killer | Obsidian Palace | A Nightmare | Thu Aug 31 07:03:16 2000
Rahbyn | The Crystal Dragon | Obsidian Palace | A Platform Surrounded By Flames | Thu Aug 31 07:37:29 2000
Numinax | The Devil Ishmael | Obsidian Palace | A Nightmare | Thu Aug 31 07:54:16 2000
Jixtio | The phantasmal killer | Obsidian Palace | A Nightmare | Thu Aug 31 07:54:55 2000
Iola | The phantasmal killer | Obsidian Palace | A Nightmare | Thu Aug 31 07:55:49 2000
Kailo | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Thu Aug 31 08:03:22 2000
Fester | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Thu Aug 31 08:03:50 2000
Improbar | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Thu Aug 31 08:04:54 2000
Nirgal | The Devil Agamemnon | Obsidian Palace | Agamemnon's Lair | Thu Aug 31 08:05:51 2000
Iolis | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 13:10:42 2000
Kellen | The Crystal Dragon | Obsidian Palace | The Throne | Thu Aug 31 13:17:02 2000
Iolis | The Crystal Dragon | Obsidian Palace | The Spiral Staircase | Thu Aug 31 13:17:19 2000
Hughes | The Crystal Dragon | Obsidian Palace | The Throne | Thu Aug 31 13:21:45 2000
Ulrich | The Obsidian Palace Guard | Obsidian Palace | Before the Gates of the Obsidian Palace | Thu Aug 31 19:11:48 2000
Ulrich | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 19:15:47 2000
Ulrich | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 19:18:20 2000
Ulrich | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 19:21:23 2000
Ulrich | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 19:24:17 2000
Ulrich | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 19:27:09 2000
Caitiff | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 19:29:29 2000
Ulrich | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 19:30:00 2000
Ulrich | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 19:32:45 2000
Ulrich | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Thu Aug 31 19:34:54 2000
Argonat | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Fri Sep  1 08:32:39 2000
Sareteleth | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Fri Sep  1 11:33:33 2000
Sareteleth | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Fri Sep  1 11:44:56 2000
Maelvishan | The Obsidian Palace Guard | Obsidian Palace | Inside the Obsidian Palace | Tue Sep  5 03:36:17 2000
Rendir | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Tue Sep  5 19:15:29 2000
Felen | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Wed Sep  6 18:50:20 2000
Malrubius | The Obsidian Palace Guard | Obsidian Palace | The Dais | Thu Sep  7 10:05:38 2000
Hughes | The Obsidian Palace Guard | Obsidian Palace | The Dais | Thu Sep  7 15:52:22 2000
Hughes | The Obsidian Palace Guard | Obsidian Palace | The Dais | Thu Sep  7 16:02:03 2000
Hughes | The Obsidian Palace Guard | Obsidian Palace | The Dais | Thu Sep  7 16:10:06 2000
Hughes | The Obsidian Palace Guard | Obsidian Palace | The Dais | Thu Sep  7 16:20:49 2000
Coasty | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Sep  7 21:24:53 2000
Illian | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Thu Sep  7 21:25:05 2000
Zelgadus | The phantasmal killer | Obsidian Palace | A Nightmare | Fri Sep  8 13:18:27 2000
Hughes | The phantasmal killer | Obsidian Palace | A Nightmare | Fri Sep  8 13:18:27 2000
Athragon | The phantasmal killer | Obsidian Palace | A Nightmare | Fri Sep  8 13:18:33 2000
Slape | The phantasmal killer | Obsidian Palace | A Nightmare | Fri Sep  8 13:18:45 2000
Mirkon | The phantasmal killer | Obsidian Palace | A Nightmare | Fri Sep  8 13:19:33 2000
Sycho | The phantasmal killer | Obsidian Palace | A Nightmare | Fri Sep  8 13:19:45 2000
Hughes | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Fri Sep  8 13:39:00 2000
Sycho | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Fri Sep  8 13:39:02 2000
Mirkon | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Fri Sep  8 13:39:04 2000
Martonian | The Obsidian Palace Guard | Obsidian Palace | Before the Gates of the Obsidian Palace | Sat Sep  9 10:25:56 2000
Luspher | The Obsidian Palace Guard | Obsidian Palace | The Spiral Staircase | Sat Sep  9 10:28:35 2000
Martonian | The Crystal Dragon | Obsidian Palace | The Throne | Sat Sep  9 10:28:55 2000
Martonian | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep  9 10:30:00 2000
Martonian | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep  9 10:30:28 2000
Martonian | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep  9 10:32:55 2000
Luspher | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep  9 10:33:04 2000
Martonian | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep  9 10:33:48 2000
Luspher | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep  9 10:33:52 2000
Martonian | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep  9 10:35:04 2000
Luspher | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sat Sep  9 10:36:04 2000
Slape | Elthian the Wizard | Obsidian Palace | A Platform Surrounded By Flames | Sat Sep  9 11:51:54 2000
Pibb | a human swordsman | Crusader Battlefield | Eastern Trail | Sat Sep  9 22:54:13 2000
Ganthies | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 10 03:48:25 2000
Ganthies | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 10 03:49:05 2000
Sidryn | The phantasmal killer | Obsidian Palace | A Nightmare | Sun Sep 10 03:50:16 2000
Ganthies | The phantasmal killer | Obsidian Palace | A Nightmare | Sun Sep 10 03:50:19 2000
Malrubius | The Devil Ishmael | Obsidian Palace | A Nightmare | Sun Sep 10 03:50:25 2000
Ganthies | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 10 03:55:22 2000
Sidryn | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 10 04:24:23 2000
Malrubius | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 10 04:24:43 2000
Ganthies | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Sun Sep 10 04:24:55 2000
Pibb | a human swordsman | Crusader Battlefield | Bloody fields | Sun Sep 10 20:13:09 2000
Frencelles | a troll captain | Crusader Battlefield | Bloody fields | Sun Sep 10 20:15:43 2000
Frencelles | Youatt | Crusader Battlefield | Bloody fields | Sun Sep 10 20:19:16 2000
Frencelles | Youatt | Crusader Battlefield | Bloody fields | Sun Sep 10 20:26:54 2000
Pibb | a human swordsman | Crusader Battlefield | Bloody fields | Sun Sep 10 20:38:59 2000
Pibb | Sir Lothar | Crusader Battlefield | Bloody fields | Sun Sep 10 20:43:43 2000
Hewgoladon | a human paladin | Crusader Battlefield | Bloody fields | Sun Sep 10 23:21:02 2000
Pibb | a human swordsman | Crusader Battlefield | Bloody fields | Mon Sep 11 01:21:03 2000
Pibb | a human paladin | Crusader Battlefield | Bloody fields | Mon Sep 11 01:26:01 2000
Pibb | a human swordsman | Crusader Battlefield | Bloody fields | Mon Sep 11 01:34:10 2000
Pibb | a goblin soldier | Crusader Battlefield | Bloody fields | Mon Sep 11 01:34:40 2000
Sycho | Sir Lothar | Crusader Battlefield | Bloody fields | Mon Sep 11 02:58:25 2000
Pibb | Sir Lothar | Crusader Battlefield | Bloody fields | Mon Sep 11 03:19:48 2000
Belar | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Sep 11 06:43:00 2000
Zalastar | The Devil Be'lal | Obsidian Palace | The Summoning Circle of Be'lal | Mon Sep 11 06:43:01 2000
Sharmot | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Mon Sep 11 07:42:22 2000
Tvakal | The Obsidian Palace Guard | Obsidian Palace | The Throne Room | Mon Sep 11 07:43:31 2000
Belar | The Crystal Dragon | Obsidian Palace | The Throne | Mon Sep 11 07:44:04 2000
Liber | The Crystal Dragon | Obsidian Palace | The Throne | Tue Sep 12 12:17:56 2000
Terrin | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Wed Sep 13 01:11:49 2000
Kraich | a troll captain | Crusader Battlefield | Bloody fields | Wed Sep 13 08:45:39 2000
Mirkon | a goblin soldier | Crusader Battlefield | Eastern Trail | Wed Sep 13 09:01:04 2000
Kraich | a troll captain | Crusader Battlefield | Eastern Trail | Wed Sep 13 09:02:25 2000
Mirkon | Youatt | Crusader Battlefield | Bloody fields | Wed Sep 13 09:19:53 2000
Mirkon | a human paladin | Crusader Battlefield | Bloody fields | Wed Sep 13 09:23:35 2000
Kraich | The phantasmal killer | Obsidian Palace | A Nightmare | Wed Sep 13 10:21:53 2000
Liber | The Obsidian Palace Guard | Obsidian Palace | Gates of the Obsidian Palace | Wed Sep 13 10:26:41 2000
Ganthies | The Archdevil Mephistopheles | Obsidian Palace | The Inferno | Wed Sep 13 10:46:58 2000
